id,driver_name,score,employee_id,created_at,updated_at
69,Role Clarity,1,18,2019-03-11 09:31:27.133745,2019-03-11 09:31:27.133745
70,Career Growth,5,18,2019-03-11 09:31:27.138980,2019-03-11 09:31:27.138980
71,Company Policies,2,18,2019-03-11 09:31:27.145053,2019-03-11 09:31:27.145053
72,Manager Support,3,18,2019-03-11 09:31:27.149380,2019-03-11 09:31:27.149380
73,Role Clarity,2,19,2019-03-11 09:31:27.158282,2019-03-11 09:31:27.158282
74,Career Growth,4,19,2019-03-11 09:31:27.162891,2019-03-11 09:31:27.162891
75,Company Policies,2,19,2019-03-11 09:31:27.167396,2019-03-11 09:31:27.167396
76,Manager Support,5,19,2019-03-11 09:31:27.172113,2019-03-11 09:31:27.172113
77,Role Clarity,3,20,2019-03-11 09:31:27.181171,2019-03-11 09:31:27.181171
78,Career Growth,5,20,2019-03-11 09:31:27.185326,2019-03-11 09:31:27.185326
79,Company Policies,1,20,2019-03-11 09:31:27.202163,2019-03-11 09:31:27.202163
80,Manager Support,3,20,2019-03-11 09:31:27.206282,2019-03-11 09:31:27.206282
81,Role Clarity,2,21,2019-03-11 09:31:27.214735,2019-03-11 09:31:27.214735
82,Career Growth,3,21,2019-03-11 09:31:27.218994,2019-03-11 09:31:27.218994
83,Company Policies,1,21,2019-03-11 09:31:27.224262,2019-03-11 09:31:27.224262
84,Manager Support,1,21,2019-03-11 09:31:27.228560,2019-03-11 09:31:27.228560
85,Role Clarity,1,22,2019-03-11 09:31:27.243056,2019-03-11 09:31:27.243056
86,Career Growth,2,22,2019-03-11 09:31:27.249058,2019-03-11 09:31:27.249058
87,Company Policies,2,22,2019-03-11 09:31:27.254936,2019-03-11 09:31:27.254936
88,Manager Support,1,22,2019-03-11 09:31:27.261162,2019-03-11 09:31:27.261162
89,Role Clarity,3,23,2019-03-11 09:31:27.272734,2019-03-11 09:31:27.272734
90,Career Growth,2,23,2019-03-11 09:31:27.278008,2019-03-11 09:31:27.278008
91,Company Policies,1,23,2019-03-11 09:31:27.282780,2019-03-11 09:31:27.282780
92,Manager Support,5,23,2019-03-11 09:31:27.286621,2019-03-11 09:31:27.286621
93,Role Clarity,2,24,2019-03-11 09:31:27.298962,2019-03-11 09:31:27.298962
94,Career Growth,1,24,2019-03-11 09:31:27.303174,2019-03-11 09:31:27.303174
95,Company Policies,4,24,2019-03-11 09:31:27.308816,2019-03-11 09:31:27.308816
96,Manager Support,1,24,2019-03-11 09:31:27.314579,2019-03-11 09:31:27.314579
97,Role Clarity,1,25,2019-03-11 09:31:27.324551,2019-03-11 09:31:27.324551
98,Career Growth,3,25,2019-03-11 09:31:27.328610,2019-03-11 09:31:27.328610
99,Company Policies,4,25,2019-03-11 09:31:27.332662,2019-03-11 09:31:27.332662
100,Manager Support,3,25,2019-03-11 09:31:27.337607,2019-03-11 09:31:27.337607
101,Role Clarity,2,26,2019-03-11 09:31:27.346329,2019-03-11 09:31:27.346329
102,Career Growth,2,26,2019-03-11 09:31:27.350358,2019-03-11 09:31:27.350358
103,Company Policies,3,26,2019-03-11 09:31:27.354634,2019-03-11 09:31:27.354634
104,Manager Support,2,26,2019-03-11 09:31:27.360210,2019-03-11 09:31:27.360210
105,Role Clarity,1,27,2019-03-11 09:31:27.368611,2019-03-11 09:31:27.368611
106,Career Growth,2,27,2019-03-11 09:31:27.372562,2019-03-11 09:31:27.372562
107,Company Policies,2,27,2019-03-11 09:31:27.376857,2019-03-11 09:31:27.376857
108,Manager Support,3,27,2019-03-11 09:31:27.381108,2019-03-11 09:31:27.381108
109,Role Clarity,2,28,2019-03-11 09:31:27.391803,2019-03-11 09:31:27.391803
110,Career Growth,4,28,2019-03-11 09:31:27.398093,2019-03-11 09:31:27.398093
111,Company Policies,2,28,2019-03-11 09:31:27.402276,2019-03-11 09:31:27.402276
112,Manager Support,1,28,2019-03-11 09:31:27.406512,2019-03-11 09:31:27.406512
113,Role Clarity,5,29,2019-03-11 09:31:27.414822,2019-03-11 09:31:27.414822
114,Career Growth,2,29,2019-03-11 09:31:27.419203,2019-03-11 09:31:27.419203
115,Company Policies,4,29,2019-03-11 09:31:27.423886,2019-03-11 09:31:27.423886
116,Manager Support,1,29,2019-03-11 09:31:27.428555,2019-03-11 09:31:27.428555
117,Role Clarity,2,30,2019-03-11 09:31:27.437362,2019-03-11 09:31:27.437362
118,Career Growth,2,30,2019-03-11 09:31:27.443369,2019-03-11 09:31:27.443369
119,Company Policies,3,30,2019-03-11 09:31:27.447334,2019-03-11 09:31:27.447334
120,Manager Support,5,30,2019-03-11 09:31:27.451167,2019-03-11 09:31:27.451167
121,Role Clarity,2,31,2019-03-11 09:31:27.460403,2019-03-11 09:31:27.460403
122,Career Growth,5,31,2019-03-11 09:31:27.465034,2019-03-11 09:31:27.465034
123,Company Policies,1,31,2019-03-11 09:31:27.470605,2019-03-11 09:31:27.470605
124,Manager Support,3,31,2019-03-11 09:31:27.475459,2019-03-11 09:31:27.475459
125,Role Clarity,2,32,2019-03-11 09:31:27.484209,2019-03-11 09:31:27.484209
126,Career Growth,2,32,2019-03-11 09:31:27.488784,2019-03-11 09:31:27.488784
127,Company Policies,2,32,2019-03-11 09:31:27.494339,2019-03-11 09:31:27.494339
128,Manager Support,1,32,2019-03-11 09:31:27.501120,2019-03-11 09:31:27.501120
129,Role Clarity,4,33,2019-03-11 09:31:27.509231,2019-03-11 09:31:27.509231
130,Career Growth,3,33,2019-03-11 09:31:27.513709,2019-03-11 09:31:27.513709
131,Company Policies,2,33,2019-03-11 09:31:27.519223,2019-03-11 09:31:27.519223
132,Manager Support,5,33,2019-03-11 09:31:27.525571,2019-03-11 09:31:27.525571
133,Role Clarity,1,34,2019-03-11 09:31:27.533982,2019-03-11 09:31:27.533982
134,Career Growth,1,34,2019-03-11 09:31:27.538330,2019-03-11 09:31:27.538330
135,Company Policies,2,34,2019-03-11 09:31:27.544069,2019-03-11 09:31:27.544069
136,Manager Support,3,34,2019-03-11 09:31:27.548007,2019-03-11 09:31:27.548007
137,Role Clarity,4,35,2019-03-11 09:31:27.556947,2019-03-11 09:31:27.556947
138,Career Growth,4,35,2019-03-11 09:31:27.560953,2019-03-11 09:31:27.560953
139,Company Policies,4,35,2019-03-11 09:31:27.564679,2019-03-11 09:31:27.564679
140,Manager Support,2,35,2019-03-11 09:31:27.569105,2019-03-11 09:31:27.569105
141,Role Clarity,1,36,2019-03-11 09:31:27.578039,2019-03-11 09:31:27.578039
142,Career Growth,4,36,2019-03-11 09:31:27.582386,2019-03-11 09:31:27.582386
143,Company Policies,1,36,2019-03-11 09:31:27.586493,2019-03-11 09:31:27.586493
144,Manager Support,5,36,2019-03-11 09:31:27.591958,2019-03-11 09:31:27.591958
145,Role Clarity,4,37,2019-03-11 09:31:27.602780,2019-03-11 09:31:27.602780
146,Career Growth,3,37,2019-03-11 09:31:27.607707,2019-03-11 09:31:27.607707
147,Company Policies,4,37,2019-03-11 09:31:27.614551,2019-03-11 09:31:27.614551
148,Manager Support,4,37,2019-03-11 09:31:27.619203,2019-03-11 09:31:27.619203
149,Role Clarity,5,38,2019-03-11 09:31:27.629141,2019-03-11 09:31:27.629141
150,Career Growth,2,38,2019-03-11 09:31:27.633962,2019-03-11 09:31:27.633962
151,Company Policies,1,38,2019-03-11 09:31:27.638957,2019-03-11 09:31:27.638957
152,Manager Support,2,38,2019-03-11 09:31:27.644330,2019-03-11 09:31:27.644330
153,Role Clarity,5,39,2019-03-11 09:31:27.652599,2019-03-11 09:31:27.652599
154,Career Growth,4,39,2019-03-11 09:31:27.657041,2019-03-11 09:31:27.657041
155,Company Policies,2,39,2019-03-11 09:31:27.661271,2019-03-11 09:31:27.661271
156,Manager Support,4,39,2019-03-11 09:31:27.665815,2019-03-11 09:31:27.665815
157,Role Clarity,2,40,2019-03-11 09:31:27.676704,2019-03-11 09:31:27.676704
158,Career Growth,4,40,2019-03-11 09:31:27.681218,2019-03-11 09:31:27.681218
159,Company Policies,2,40,2019-03-11 09:31:27.685343,2019-03-11 09:31:27.685343
160,Manager Support,5,40,2019-03-11 09:31:27.690322,2019-03-11 09:31:27.690322
161,Role Clarity,3,41,2019-03-11 09:31:27.700416,2019-03-11 09:31:27.700416
162,Career Growth,2,41,2019-03-11 09:31:27.704409,2019-03-11 09:31:27.704409
163,Company Policies,3,41,2019-03-11 09:31:27.708305,2019-03-11 09:31:27.708305
164,Manager Support,4,41,2019-03-11 09:31:27.712948,2019-03-11 09:31:27.712948
165,Role Clarity,3,42,2019-03-11 09:31:27.721841,2019-03-11 09:31:27.721841
166,Career Growth,1,42,2019-03-11 09:31:27.727629,2019-03-11 09:31:27.727629
167,Company Policies,3,42,2019-03-11 09:31:27.732043,2019-03-11 09:31:27.732043
168,Manager Support,2,42,2019-03-11 09:31:27.735764,2019-03-11 09:31:27.735764
169,Role Clarity,1,43,2019-03-11 09:31:27.744331,2019-03-11 09:31:27.744331
170,Career Growth,2,43,2019-03-11 09:31:27.747946,2019-03-11 09:31:27.747946
171,Company Policies,3,43,2019-03-11 09:31:27.752004,2019-03-11 09:31:27.752004
172,Manager Support,1,43,2019-03-11 09:31:27.756836,2019-03-11 09:31:27.756836
173,Role Clarity,3,44,2019-03-11 09:31:27.766173,2019-03-11 09:31:27.766173
174,Career Growth,1,44,2019-03-11 09:31:27.770473,2019-03-11 09:31:27.770473
175,Company Policies,4,44,2019-03-11 09:31:27.776615,2019-03-11 09:31:27.776615
176,Manager Support,4,44,2019-03-11 09:31:27.780923,2019-03-11 09:31:27.780923
177,Role Clarity,3,45,2019-03-11 09:31:27.794380,2019-03-11 09:31:27.794380
178,Career Growth,1,45,2019-03-11 09:31:27.806648,2019-03-11 09:31:27.806648
179,Company Policies,1,45,2019-03-11 09:31:27.812349,2019-03-11 09:31:27.812349
180,Manager Support,2,45,2019-03-11 09:31:27.816979,2019-03-11 09:31:27.816979
181,Role Clarity,4,46,2019-03-11 09:31:27.827324,2019-03-11 09:31:27.827324
182,Career Growth,4,46,2019-03-11 09:31:27.831525,2019-03-11 09:31:27.831525
183,Company Policies,2,46,2019-03-11 09:31:27.835551,2019-03-11 09:31:27.835551
184,Manager Support,1,46,2019-03-11 09:31:27.839460,2019-03-11 09:31:27.839460
185,Role Clarity,3,47,2019-03-11 09:31:27.847536,2019-03-11 09:31:27.847536
186,Career Growth,2,47,2019-03-11 09:31:27.851391,2019-03-11 09:31:27.851391
187,Company Policies,4,47,2019-03-11 09:31:27.855494,2019-03-11 09:31:27.855494
188,Manager Support,4,47,2019-03-11 09:31:27.860224,2019-03-11 09:31:27.860224
189,Role Clarity,5,48,2019-03-11 09:31:27.871720,2019-03-11 09:31:27.871720
190,Career Growth,1,48,2019-03-11 09:31:27.878175,2019-03-11 09:31:27.878175
191,Company Policies,3,48,2019-03-11 09:31:27.881876,2019-03-11 09:31:27.881876
192,Manager Support,1,48,2019-03-11 09:31:27.885796,2019-03-11 09:31:27.885796
193,Role Clarity,2,49,2019-03-11 09:31:27.894645,2019-03-11 09:31:27.894645
194,Career Growth,4,49,2019-03-11 09:31:27.901332,2019-03-11 09:31:27.901332
195,Company Policies,1,49,2019-03-11 09:31:27.905806,2019-03-11 09:31:27.905806
196,Manager Support,5,49,2019-03-11 09:31:27.909849,2019-03-11 09:31:27.909849
197,Role Clarity,4,50,2019-03-11 09:31:27.918947,2019-03-11 09:31:27.918947
198,Career Growth,5,50,2019-03-11 09:31:27.924838,2019-03-11 09:31:27.924838
199,Company Policies,2,50,2019-03-11 09:31:27.929090,2019-03-11 09:31:27.929090
200,Manager Support,2,50,2019-03-11 09:31:27.933294,2019-03-11 09:31:27.933294
201,Role Clarity,5,51,2019-03-11 09:31:27.942286,2019-03-11 09:31:27.942286
202,Career Growth,2,51,2019-03-11 09:31:27.948307,2019-03-11 09:31:27.948307
203,Company Policies,4,51,2019-03-11 09:31:27.955310,2019-03-11 09:31:27.955310
204,Manager Support,3,51,2019-03-11 09:31:27.961969,2019-03-11 09:31:27.961969
205,Role Clarity,2,52,2019-03-11 09:31:27.971567,2019-03-11 09:31:27.971567
206,Career Growth,4,52,2019-03-11 09:31:27.977293,2019-03-11 09:31:27.977293
207,Company Policies,5,52,2019-03-11 09:31:27.981242,2019-03-11 09:31:27.981242
208,Manager Support,3,52,2019-03-11 09:31:27.985298,2019-03-11 09:31:27.985298
209,Role Clarity,3,53,2019-03-11 09:31:27.995012,2019-03-11 09:31:27.995012
210,Career Growth,4,53,2019-03-11 09:31:28.002955,2019-03-11 09:31:28.002955
211,Company Policies,2,53,2019-03-11 09:31:28.008424,2019-03-11 09:31:28.008424
212,Manager Support,4,53,2019-03-11 09:31:28.013214,2019-03-11 09:31:28.013214
213,Role Clarity,4,54,2019-03-11 09:31:28.021312,2019-03-11 09:31:28.021312
214,Career Growth,5,54,2019-03-11 09:31:28.026968,2019-03-11 09:31:28.026968
215,Company Policies,2,54,2019-03-11 09:31:28.031416,2019-03-11 09:31:28.031416
216,Manager Support,2,54,2019-03-11 09:31:28.035927,2019-03-11 09:31:28.035927
217,Role Clarity,3,55,2019-03-11 09:31:28.045336,2019-03-11 09:31:28.045336
218,Career Growth,5,55,2019-03-11 09:31:28.050936,2019-03-11 09:31:28.050936
219,Company Policies,4,55,2019-03-11 09:31:28.057077,2019-03-11 09:31:28.057077
220,Manager Support,3,55,2019-03-11 09:31:28.063479,2019-03-11 09:31:28.063479
